Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinSocket_1x02_P2.54mm_Vertical,1,Battery_Cell,
"C1, C2",0603,2,C,
"C3, C5, C6",0201,3,C,
DWM1,DWM1000,1,DWM1000,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
L1,IND_SRP4020TA-100M,1,L,
"M1, M2, M3, M4",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,4,Motor_DC,
PWR1,0603,1,LED,
"Q1, Q2",TO-92,2,NPN,
"R1, R2, R3, R4, R5",0603,5,R,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
"U4, U6",SSOP-24_5.3x8.2mm_P0.65mm,2,TB6612FNG,
U5,TSOT-23-6,1,AP63205WU,
