Designator,Mid X,Mid Y,Rotation,Layer
BT1,167.02,-147.25,90.0,top
C1,134.025,-121.675,0.0,top
C2,134.0,-118.25,0.0,top
C3,170.905,-133.5,0.0,top
C5,170.905,-135.25,0.0,top
C6,170.905,-137.0,0.0,top
DWM1,103.0,-128.5,180.0,top
H1,92.95,-148.0,0.0,top
H2,149.4,-148.1,0.0,top
H3,92.95,-111.2,0.0,top
H4,149.45,-111.2,0.0,top
J2,123.375,-148.225,0.0,top
L1,166.65,-135.25,0.0,top
M1,157.0,-115.0,90.0,top
M2,157.0,-125.115,90.0,top
M3,167.0,-115.0,90.0,top
M4,167.0,-125.115,90.0,top
PWR1,121.75,-138.0,0.0,top
Q1,144.5,-131.475,0.0,top
Q2,135.0,-131.475,0.0,top
R1,145.75,-118.25,0.0,top
R2,134.05,-126.27,0.0,top
R3,145.75,-122.5,0.0,top
R4,139.75,-131.0,0.0,top
R5,145.75,-126.75,0.0,top
U1,122.0,-125.115,0.0,top
U2,140.5,-140.25,180.0,top
U3,139.725,-122.405,270.0,top
U4,157.5,-135.775,270.0,top
U5,166.3625,-140.95,180.0,top
U6,157.5,-145.72,270.0,top
