Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C5241969,DW1000-I-TR13,Qorvo,QFN-48(6x6),,6.8Mbps -107dBm 3.244GHz~6.999GHz 2.8V~3.6V QFN-48(6x6) RF Transceiver ICs RoHS,yes,5,1,1,7.1224,35.61,https://www.lcsc.com/product-detail/C5241969.html
2,-,ESP32-S32Mb,Ai-Thinker,-,,-,-,5,1,1,2.8780,14.39,-
3,C2907044,FRC0603F5101TS,FOJAN,0603,,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0028,0.28,https://www.lcsc.com/product-detail/C2907044.html
4,C717453,S8050,LGE,TO-92,,Bipolar (BJT) Transistor NPN 25V 500mA 150MHz 625mW Through Hole TO-92,yes,20,20,20,0.0273,0.55,https://www.lcsc.com/product-detail/C717453.html
5,C41361550,CT4-0805-2X1-50V-0.1uF-K-Y,TORCH,"Through Hole,P=5.08mm",,"100nF ±10% 50V Through Hole,P=5.08mm Ceramic Capacitors RoHS",yes,5,5,5,0.0904,0.45,https://www.lcsc.com/product-detail/C41361550.html
6,C95204,RT0603BRD0710KL,YAGEO,0603,,100mW 10kΩ 75V Thin Film Resistor ±25ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,yes,20,20,20,0.0299,0.60,https://www.lcsc.com/product-detail/C95204.html
7,C19273151,YLED0603G,YONGYUTAI,0603,,Emerald Green LED Indication - Discrete 2.7V~3.2V 0603,yes,100,100,100,0.0059,0.59,https://www.lcsc.com/product-detail/C19273151.html
8,C141517,"TB6612FNG,C,8,EL",TOSHIBA,SSOP-24,,"SSOP-24 Motor Drivers, Controllers RoHS",yes,1,1,1,1.1283,1.13,https://www.lcsc.com/product-detail/C141517.html
9,C695629,DB301V-3.5-2P-GN-S,DORABO,"Through Hole,P=3.5mm",,2 Position Wire to Board Terminal Block Through Hole 3.5mm,yes,5,5,5,0.0842,0.42,https://www.lcsc.com/product-detail/C695629.html
10,C91606,GRM188R61E106MA73D,muRata,0603,,10uF ±20% 25V Ceramic Capacitor X5R 0603,yes,5,5,5,0.1716,0.86,https://www.lcsc.com/product-detail/C91606.html
11,C2762594,CL10A226MO7JZNC,Samsung Electro-Mechanics,0603,,22uF ±20% 16V Ceramic Capacitor X5R 0603,yes,5,5,5,0.1906,0.95,https://www.lcsc.com/product-detail/C2762594.html
