Designator,Mid X,Mid Y,Rotation,Layer
BT1,149.475,-130.095,0.0,top
C1,134.025,-121.675,0.0,top
C2,134.0,-118.25,0.0,top
C3,149.195,-120.2,0.0,top
C5,149.195,-121.95,0.0,top
C6,149.195,-123.7,0.0,top
DWM1,103.0,-128.5,180.0,top
H1,92.95,-148.0,0.0,top
H2,149.25,-148.0,0.0,top
H3,92.95,-111.2,0.0,top
H4,149.325,-111.2,0.0,top
J1,121.8,-147.9,0.0,top
L1,148.85,-141.8,90.0,top
PWR1,121.75,-138.0,0.0,top
Q1,144.5,-131.475,0.0,top
Q2,135.0,-131.475,0.0,top
R1,145.75,-118.25,0.0,top
R2,134.05,-126.27,0.0,top
R3,145.75,-122.5,0.0,top
R4,139.75,-131.0,0.0,top
R5,145.75,-126.75,0.0,top
U1,122.0,-125.115,0.0,top
U2,140.5,-140.25,180.0,top
U3,139.725,-122.405,270.0,top
U5,148.6875,-136.75,180.0,top
